part_id,bin_type,n_pallet,n_case,n_each,bins_used
P0001,Bulk Rack,0,4,3,2
P0002,Bulk Rack,0,6,2,7
P0003,Hazmat Rack,0,1,8,2
P0004,Standard Rack,0,6,5,2
P0005,Standard Rack,0,2,1,2
P0006,Floor Spot,0,14,5,2
P0007,Hazmat Rack,0,1,7,2
P0008,Bulk Rack,3,4,1,4
P0009,Bulk Rack,0,19,4,2
P0010,Floor Spot,1,4,1,3
P0011,Floor Spot,0,0,6,1
P0012,Floor Spot,6,0,33,2
P0013,Bulk Rack,1,2,1,3
P0014,Standard Rack,0,8,22,2
P0015,Standard Rack,0,4,9,2
P0016,Standard Rack,0,12,1,2
P0017,Floor Spot,2,1,10,3
P0018,Hazmat Rack,0,2,15,2
P0019,Floor Spot,6,0,4,3
P0020,Standard Rack,0,1,2,3
P0021,Bulk Rack,0,8,1,3
P0022,Floor Spot,0,9,0,1
P0023,Bulk Rack,0,5,13,2
P0024,Hazmat Rack,0,5,14,2
P0025,Bulk Rack,1,8,5,3
P0026,Floor Spot,2,2,6,3
P0027,Hazmat Rack,0,5,9,2
P0028,Hazmat Rack,0,8,8,3
P0029,Floor Spot,2,1,11,3
P0030,Bulk Rack,4,3,0,3
P0031,Bulk Rack,0,12,5,2
P0032,Floor Spot,0,14,3,2
P0033,Bulk Rack,0,47,3,2
P0034,Bulk Rack,1,1,2,3
P0035,Floor Spot,4,0,15,2
P0036,Floor Spot,3,5,34,3
P0037,Floor Spot,2,2,23,3
P0038,Standard Rack,0,5,4,2
P0039,Hazmat Rack,0,6,5,7
P0040,Bulk Rack,0,5,39,2
P0041,Standard Rack,0,1,0,1
P0042,Bulk Rack,0,2,2,2
P0043,Floor Spot,0,25,6,2
P0044,Floor Spot,0,36,9,2
P0045,Standard Rack,0,7,33,2
